TransactionID,CustomerID,ProductID,ProductName,Category,Subcategory,Brand,Quantity,UnitPrice,TotalAmount,Discount,TransactionDate,PaymentMethod,Channel,CustomerAge,CustomerGender,CustomerCity,CustomerSegment,Year,Month,DayOfWeek,Season,Revenue,Profit
T000016,C01650,P00662,Smart Home Generic Brand Model 30,Electronics,Smart Home,Generic Brand,1,1265.01,1265.01,0,2023-01-12,Cash,In-Store,23,Male,Austin,Premium,2023,1,Thursday,Winter,1265.01,713.37
T000017,C00008,P00172,Accessories Value Plus Model 5,Automotive,Accessories,Value Plus,1,86.37,86.37,0,2024-02-16,Debit Card,Mobile App,27,Female,Seattle,Budget,2024,2,Friday,Winter,86.37,35.7
T000018,C01781,P00705,Games IKEA Model 15,Books & Media,Games,IKEA,1,68.36,68.36,20,2022-09-24,Buy Now Pay Later,Mobile App,60,Male,Fort Worth,VIP,2022,9,Saturday,Fall,68.36,28.6
T000019,C01500,P00732,Board Games Nike Model 40,Toys & Games,Board Games,Nike,1,64.69,64.69,0,2023-07-07,Cash,Mobile App,43,Male,San Diego,Regular,2023,7,Friday,Summer,64.69,28.0
T000020,C01539,P00499,Music Zara Model 10,Books & Media,Music,Zara,1,39.91,39.91,15,2022-09-04,Digital Wallet,Mobile App,53,Male,Los Angeles,VIP,2022,9,Sunday,Fall,39.91,7.67
T000021,C00667,P00046,Smartphones Canon Model 46,Electronics,Smartphones,Canon,1,493.22,493.22,25,2023-05-30,Buy Now Pay Later,In-Store,30,Female,San Diego,Regular,2023,5,Tuesday,Spring,493.22,206.52
T000022,C00721,P00090,Electronics H&M Model 40,Automotive,Electronics,H&M,1,176.92,176.92,0,2024-02-06,Credit Card,In-Store,65,Male,San Francisco,Premium,2024,2,Tuesday,Winter,176.92,90.72
T000023,C01216,P00621,Car Parts Dell Model 50,Automotive,Car Parts,Dell,1,249.16,249.16,5,2024-01-05,Buy Now Pay Later,Online,71,Male,Jacksonville,Regular,2024,1,Friday,Winter,249.16,93.77
T000024,C01243,P00109,Maintenance Value Plus Model 16,Automotive,Maintenance,Value Plus,1,117.2,117.2,0,2022-11-07,Credit Card,In-Store,29,Male,Charlotte,Regular,2022,11,Monday,Fall,117.2,58.57
T000025,C00949,P00476,Outdoor Toys Generic Brand Model 28,Toys & Games,Outdoor Toys,Generic Brand,1,277.38,277.38,0,2023-04-30,Buy Now Pay Later,In-Store,65,Female,Phoenix,Premium,2023,4,Sunday,Spring,277.38,121.32
T000026,C00631,P00260,Storage Value Plus Model 29,Office Supplies,Storage,Value Plus,2,294.2,588.4,0,2024-01-12,Buy Now Pay Later,In-Store,35,Female,Philadelphia,Regular,2024,1,Friday,Winter,588.4,338.04
T000027,C00928,P00528,Formal Wear Nike Model 50,Clothing,Formal Wear,Nike,2,359.05,718.11,5,2022-03-19,Debit Card,Online,19,Male,Houston,Budget,2022,3,Saturday,Spring,718.11,413.79
T000028,C00101,P00520,Educational Toys Apple Model 25,Toys & Games,Educational Toys,Apple,1,221.92,221.92,0,2024-01-03,Digital Wallet,Online,56,Female,Dallas,Regular,2024,1,Wednesday,Winter,221.92,111.33
T000029,C01769,P00619,Car Parts Uniqlo Model 32,Automotive,Car Parts,Uniqlo,1,33.1,33.1,0,2022-12-21,Buy Now Pay Later,In-Store,50,Female,Austin,Premium,2022,12,Wednesday,Winter,33.1,11.42
T000030,C01175,P00526,Magazines Nike Model 26,Books & Media,Magazines,Nike,1,123.73,123.73,10,2023-02-22,Debit Card,Online,24,Female,Jacksonville,Premium,2023,2,Wednesday,Winter,123.73,50.29
T000031,C00518,P00601,Furniture Sony Model 42,Office Supplies,Furniture,Sony,1,88.0,88.0,0,2023-07-25,Debit Card,Online,23,Male,Philadelphia,Regular,2023,7,Tuesday,Summer,88.0,35.24
T000032,C01022,P00570,Bedding Sony Model 45,Home & Garden,Bedding,Sony,1,699.37,699.37,10,2023-05-19,Cash,Online,73,Male,San Jose,Budget,2023,5,Friday,Spring,699.37,314.41
T000033,C00092,P00030,Mens Wear LG Model 32,Clothing,Mens Wear,LG,1,376.97,376.97,0,2024-03-15,Credit Card,Mobile App,50,Male,New York,Regular,2024,3,Friday,Spring,376.97,151.76
T000034,C01713,P00076,Accessories Nike Model 44,Automotive,Accessories,Nike,1,205.39,205.39,0,2023-06-22,Credit Card,Online,29,Female,Los Angeles,Regular,2023,6,Thursday,Summer,205.39,67.91
T000035,C01263,P00392,Smart Home Apple Model 7,Electronics,Smart Home,Apple,2,1472.7,2945.4,0,2022-09-29,Cash,In-Store,48,Male,Dallas,Regular,2022,9,Thursday,Fall,2945.4,1302.46
T000036,C00103,P00486,Appliances Uniqlo Model 33,Home & Garden,Appliances,Uniqlo,1,908.97,908.97,0,2022-02-27,Buy Now Pay Later,In-Store,35,Male,Philadelphia,Regular,2022,2,Sunday,Winter,908.97,422.16
T000037,C01537,P00037,Tools Uniqlo Model 36,Automotive,Tools,Uniqlo,1,230.82,230.82,0,2023-10-27,Debit Card,Mobile App,68,Male,San Francisco,VIP,2023,10,Friday,Fall,230.82,113.74
T000038,C00190,P00718,Printing Zara Model 42,Office Supplies,Printing,Zara,1,81.9,81.9,15,2023-10-14,Cash,Mobile App,73,Male,Chicago,Budget,2023,10,Saturday,Fall,81.9,16.13
T000039,C01853,P00537,Bakery LG Model 29,Food & Beverages,Bakery,LG,5,41.7,208.48,5,2023-05-06,Debit Card,Online,37,Female,Chicago,Regular,2023,5,Saturday,Spring,208.48,92.94
T000040,C00921,P00636,Beverages Nikon Model 21,Food & Beverages,Beverages,Nikon,3,38.46,115.37,20,2024-03-16,Credit Card,Mobile App,37,Male,San Jose,VIP,2024,3,Saturday,Spring,115.37,48.01
T000041,C01107,P00470,Skincare Nike Model 4,Health & Beauty,Skincare,Nike,1,65.15,65.15,10,2022-10-14,Buy Now Pay Later,Online,32,Male,Columbus,Budget,2022,10,Friday,Fall,65.15,31.19
T000042,C00498,P00542,Storage Samsung Model 41,Office Supplies,Storage,Samsung,2,369.89,739.78,0,2022-01-25,Cash,Online,71,Female,Houston,Regular,2022,1,Tuesday,Winter,739.78,252.67
T000043,C00553,P00451,Mens Wear LG Model 37,Clothing,Mens Wear,LG,2,168.29,336.58,0,2023-01-15,Debit Card,Mobile App,57,Female,Indianapolis,Budget,2023,1,Sunday,Winter,336.58,135.56
T000044,C01493,P00198,Board Games Nike Model 3,Toys & Games,Board Games,Nike,1,40.18,40.18,0,2023-02-26,Digital Wallet,In-Store,50,Female,Philadelphia,Budget,2023,2,Sunday,Winter,40.18,19.35
T000045,C00400,P00269,Accessories Apple Model 16,Clothing,Accessories,Apple,2,202.34,404.69,20,2022-07-18,Digital Wallet,Online,65,Female,Phoenix,Premium,2022,7,Monday,Summer,404.69,108.95
T000046,C01924,P00324,Furniture HP Model 22,Office Supplies,Furniture,HP,1,167.82,167.82,0,2023-09-12,Buy Now Pay Later,Online,66,Male,Charlotte,Premium,2023,9,Tuesday,Fall,167.82,68.71
T000047,C01353,P00667,Smartphones Generic Brand Model 49,Electronics,Smartphones,Generic Brand,2,125.34,250.68,0,2023-06-15,Debit Card,Online,32,Female,Seattle,Budget,2023,6,Thursday,Summer,250.68,129.52
T000048,C00864,P00690,Outdoor Toys Canon Model 8,Toys & Games,Outdoor Toys,Canon,1,112.97,112.97,0,2023-12-16,Digital Wallet,Mobile App,52,Male,Los Angeles,Premium,2023,12,Saturday,Winter,112.97,42.61
T000049,C00374,P00600,Printing Uniqlo Model 14,Office Supplies,Printing,Uniqlo,1,45.81,45.81,0,2023-10-10,Buy Now Pay Later,Online,60,Female,Houston,VIP,2023,10,Tuesday,Fall,45.81,17.73
T000050,C01301,P00020,Non-Fiction Premium Co Model 39,Books & Media,Non-Fiction,Premium Co,1,81.14,81.14,20,2022-01-23,Digital Wallet,Mobile App,52,Female,San Francisco,Regular,2022,1,Sunday,Winter,81.14,15.88
T000051,C01275,P00616,Car Parts IKEA Model 7,Automotive,Car Parts,IKEA,1,191.04,191.04,15,2023-03-15,Buy Now Pay Later,Online,19,Female,Jacksonville,Premium,2023,3,Wednesday,Spring,191.04,83.16
T000052,C00162,P00506,Formal Wear LG Model 19,Clothing,Formal Wear,LG,1,190.18,190.18,5,2023-03-25,Credit Card,In-Store,63,Female,New York,Budget,2023,3,Saturday,Spring,190.18,86.85
T000053,C00044,P00776,Womens Wear H&M Model 44,Clothing,Womens Wear,H&M,3,303.37,910.11,0,2022-09-22,Buy Now Pay Later,In-Store,22,Male,San Jose,Premium,2022,9,Thursday,Fall,910.11,522.47
T000054,C01004,P00709,Water Sports HP Model 35,Sports & Outdoors,Water Sports,HP,2,58.3,116.6,5,2024-02-06,Cash,Mobile App,41,Female,Jacksonville,Regular,2024,2,Tuesday,Winter,116.6,43.98
T000055,C01822,P00310,Decor Nike Model 2,Home & Garden,Decor,Nike,1,97.25,97.25,15,2022-07-03,Credit Card,Mobile App,59,Male,Fort Worth,Budget,2022,7,Sunday,Summer,97.25,45.05
T000056,C00533,P00637,Fitness Nikon Model 9,Sports & Outdoors,Fitness,Nikon,2,124.03,248.06,5,2022-08-15,Cash,Mobile App,46,Male,Phoenix,Regular,2022,8,Monday,Summer,248.06,82.49
T000057,C01712,P00117,Car Parts Canon Model 8,Automotive,Car Parts,Canon,1,131.71,131.71,10,2022-08-30,Cash,Online,32,Male,Charlotte,Regular,2022,8,Tuesday,Summer,131.71,42.84
T000058,C00099,P00337,Non-Fiction Generic Brand Model 16,Books & Media,Non-Fiction,Generic Brand,1,134.95,134.95,0,2022-12-16,Debit Card,In-Store,20,Female,Philadelphia,Premium,2022,12,Friday,Winter,134.95,76.35
T000059,C01341,P00540,Stationery Value Plus Model 30,Office Supplies,Stationery,Value Plus,1,241.85,241.85,0,2022-04-08,Cash,Online,42,Male,San Francisco,Premium,2022,4,Friday,Spring,241.85,83.49
T000060,C01151,P00680,Outdoor Toys Dell Model 4,Toys & Games,Outdoor Toys,Dell,1,97.66,97.66,5,2024-01-11,Digital Wallet,Mobile App,50,Female,Charlotte,Premium,2024,1,Thursday,Winter,97.66,36.62
T000061,C00529,P00567,Fitness Amazon Basics Model 13,Sports & Outdoors,Fitness,Amazon Basics,1,666.23,666.23,10,2023-09-28,Cash,Mobile App,20,Male,Austin,Budget,2023,9,Thursday,Fall,666.23,355.44
T000062,C00259,P00450,Kids Wear HP Model 39,Clothing,Kids Wear,HP,1,243.75,243.75,5,2023-07-08,Credit Card,Mobile App,43,Female,Philadelphia,Regular,2023,7,Saturday,Summer,243.75,97.23
T000063,C01441,P00462,Furniture Uniqlo Model 4,Office Supplies,Furniture,Uniqlo,1,239.6,239.6,0,2023-08-30,Digital Wallet,Online,46,Male,Columbus,Regular,2023,8,Wednesday,Summer,239.6,112.75
T000064,C01823,P00399,Music H&M Model 25,Books & Media,Music,H&M,1,64.09,64.09,0,2023-08-15,Buy Now Pay Later,Mobile App,39,Female,San Francisco,Budget,2023,8,Tuesday,Summer,64.09,25.71
T000065,C00728,P00495,Formal Wear Generic Brand Model 10,Clothing,Formal Wear,Generic Brand,1,274.49,274.49,0,2022-09-21,Digital Wallet,In-Store,47,Male,San Antonio,Budget,2022,9,Wednesday,Fall,274.49,118.8
T000066,C01701,P00281,Gaming H&M Model 11,Electronics,Gaming,H&M,1,380.79,380.79,10,2022-12-26,Cash,In-Store,57,Female,Indianapolis,Budget,2022,12,Monday,Winter,380.79,195.86
T000067,C00315,P00424,Fitness Premium Co Model 25,Sports & Outdoors,Fitness,Premium Co,1,556.39,556.39,0,2023-01-16,Cash,In-Store,40,Male,Houston,Budget,2023,1,Monday,Winter,556.39,315.74
T000068,C00976,P00198,Electronics Premium Co Model 49,Office Supplies,Electronics,Premium Co,1,289.89,289.89,15,2022-02-26,Credit Card,In-Store,56,Female,Houston,Premium,2022,2,Saturday,Winter,289.89,99.16
T000069,C00787,P00792,Furniture Uniqlo Model 24,Office Supplies,Furniture,Uniqlo,2,64.2,128.4,15,2023-02-19,Cash,Mobile App,68,Male,Charlotte,VIP,2023,2,Sunday,Winter,128.4,43.12
T000070,C00685,P00554,Tools Generic Brand Model 2,Home & Garden,Tools,Generic Brand,1,110.43,110.43,0,2023-05-22,Credit Card,In-Store,26,Male,Los Angeles,Premium,2023,5,Monday,Spring,110.43,45.92
T000071,C00542,P00627,Mens Wear LG Model 27,Clothing,Mens Wear,LG,1,55.53,55.53,0,2024-01-05,Debit Card,Online,54,Female,Dallas,Regular,2024,1,Friday,Winter,55.53,25.95
T000072,C01449,P00674,Tools Samsung Model 37,Home & Garden,Tools,Samsung,1,548.85,548.85,5,2022-04-30,Debit Card,Mobile App,52,Female,Fort Worth,VIP,2022,4,Saturday,Spring,548.85,273.71
T000073,C01655,P00377,Water Sports Sony Model 21,Sports & Outdoors,Water Sports,Sony,1,520.95,520.95,10,2023-05-11,Digital Wallet,In-Store,25,Male,Fort Worth,Premium,2023,5,Thursday,Spring,520.95,244.5
T000074,C01969,P00706,Accessories Apple Model 27,Clothing,Accessories,Apple,1,16.59,16.59,0,2022-08-01,Credit Card,Mobile App,54,Female,Columbus,Budget,2022,8,Monday,Summer,16.59,8.98
T000075,C00593,P00549,Hair Care Samsung Model 33,Health & Beauty,Hair Care,Samsung,1,88.58,88.58,30,2022-10-05,Buy Now Pay Later,Mobile App,62,Female,San Francisco,Budget,2022,10,Wednesday,Fall,88.58,20.61
T000076,C01172,P00461,Hair Care Dell Model 9,Health & Beauty,Hair Care,Dell,2,60.43,120.86,0,2023-11-19,Buy Now Pay Later,Online,49,Female,New York,VIP,2023,11,Sunday,Fall,120.86,55.42
T000077,C00953,P00206,Organic HP Model 44,Food & Beverages,Organic,HP,4,25.98,103.92,0,2022-09-17,Credit Card,Mobile App,35,Male,San Antonio,Regular,2022,9,Saturday,Fall,103.92,60.0
T000078,C01510,P00401,Movies LG Model 31,Books & Media,Movies,LG,1,117.33,117.33,15,2022-12-17,Credit Card,In-Store,32,Male,Fort Worth,Premium,2022,12,Saturday,Winter,117.33,50.83
T000079,C01575,P00522,Makeup Nikon Model 35,Health & Beauty,Makeup,Nikon,1,74.6,74.6,5,2023-04-30,Cash,Online,46,Male,San Diego,Budget,2023,4,Sunday,Spring,74.6,23.35
T000080,C01919,P00760,Makeup Generic Brand Model 48,Health & Beauty,Makeup,Generic Brand,1,168.22,168.22,5,2023-05-07,Debit Card,Online,19,Male,San Antonio,VIP,2023,5,Sunday,Spring,168.22,88.29
T000081,C00782,P00506,Board Games Uniqlo Model 17,Toys & Games,Board Games,Uniqlo,1,152.7,152.7,0,2022-10-12,Credit Card,Online,54,Female,San Francisco,VIP,2022,10,Wednesday,Fall,152.7,54.15
T000082,C01805,P00627,Health Supplements Premium Co Model 16,Health & Beauty,Health Supplements,Premium Co,4,144.83,579.33,20,2023-01-05,Credit Card,In-Store,41,Female,Los Angeles,Premium,2023,1,Thursday,Winter,579.33,284.73
T000083,C00175,P00005,Skincare Sony Model 45,Health & Beauty,Skincare,Sony,4,58.96,235.84,0,2022-12-14,Cash,Mobile App,69,Female,Columbus,VIP,2022,12,Wednesday,Winter,235.84,123.1
T000084,C00923,P00757,Camping Samsung Model 9,Sports & Outdoors,Camping,Samsung,1,378.11,378.11,0,2023-09-12,Credit Card,Online,53,Female,Philadelphia,Budget,2023,9,Tuesday,Fall,378.11,185.49
T000085,C00657,P00322,Outdoor Toys Nikon Model 50,Toys & Games,Outdoor Toys,Nikon,2,269.02,538.04,0,2024-03-28,Credit Card,Online,61,Male,San Antonio,Regular,2024,3,Thursday,Spring,538.04,165.74
T000086,C01499,P00271,Accessories Samsung Model 21,Automotive,Accessories,Samsung,1,180.91,180.91,5,2023-02-13,Cash,Mobile App,31,Female,Houston,Regular,2023,2,Monday,Winter,180.91,70.12
T000087,C01630,P00257,Maintenance Samsung Model 43,Automotive,Maintenance,Samsung,1,184.59,184.59,15,2022-01-26,Digital Wallet,Online,69,Male,Columbus,VIP,2022,1,Wednesday,Winter,184.59,81.31
T000088,C00425,P00021,Laptops Uniqlo Model 43,Electronics,Laptops,Uniqlo,1,1521.99,1521.99,5,2023-05-12,Credit Card,In-Store,72,Male,Los Angeles,VIP,2023,5,Friday,Spring,1521.99,601.65
T000089,C01894,P00668,Board Games Uniqlo Model 22,Toys & Games,Board Games,Uniqlo,1,57.86,57.86,0,2023-09-11,Credit Card,Online,29,Male,Philadelphia,Premium,2023,9,Monday,Fall,57.86,33.53
T000090,C01610,P00598,Stationery Zara Model 34,Office Supplies,Stationery,Zara,1,320.48,320.48,0,2023-08-08,Credit Card,In-Store,58,Male,San Francisco,Premium,2023,8,Tuesday,Summer,320.48,178.87
T000091,C01233,P00312,Organic Apple Model 39,Food & Beverages,Organic,Apple,2,19.78,39.56,15,2024-02-07,Buy Now Pay Later,Mobile App,20,Male,Seattle,VIP,2024,2,Wednesday,Winter,39.56,7.22
T000092,C01446,P00288,Smart Home Value Plus Model 20,Electronics,Smart Home,Value Plus,1,1834.1,1834.1,25,2023-11-16,Buy Now Pay Later,Online,24,Male,Houston,Premium,2023,11,Thursday,Fall,1834.1,848.59
T000093,C00515,P00441,Smartphones HP Model 16,Electronics,Smartphones,HP,1,846.25,846.25,15,2022-04-26,Debit Card,In-Store,64,Female,San Jose,Budget,2022,4,Tuesday,Spring,846.25,407.02
T000094,C01299,P00608,Board Games HP Model 24,Toys & Games,Board Games,HP,2,254.05,508.1,0,2023-01-14,Buy Now Pay Later,In-Store,55,Male,Los Angeles,Regular,2023,1,Saturday,Winter,508.1,226.49
T000095,C00814,P00612,Smartphones IKEA Model 8,Electronics,Smartphones,IKEA,1,859.63,859.63,0,2023-04-25,Digital Wallet,Online,40,Male,Dallas,Budget,2023,4,Tuesday,Spring,859.63,415.36
T000096,C01823,P00271,Personal Care Canon Model 38,Health & Beauty,Personal Care,Canon,3,118.84,356.52,0,2023-04-19,Debit Card,Online,31,Male,San Antonio,VIP,2023,4,Wednesday,Spring,356.52,137.17
T000097,C00103,P00580,Action Figures H&M Model 27,Toys & Games,Action Figures,H&M,1,127.66,127.66,0,2022-09-05,Credit Card,Mobile App,67,Male,New York,Regular,2022,9,Monday,Fall,127.66,44.8
T000098,C00813,P00218,Furniture Sony Model 16,Home & Garden,Furniture,Sony,1,524.53,524.53,0,2022-08-05,Cash,In-Store,72,Male,San Antonio,Regular,2022,8,Friday,Summer,524.53,184.66
T000099,C01386,P00448,Printing Uniqlo Model 48,Office Supplies,Printing,Uniqlo,1,83.81,83.81,20,2022-04-28,Cash,Mobile App,27,Male,Charlotte,Premium,2022,4,Thursday,Spring,83.81,15.16
T000100,C00224,P00559,Electronic Toys Nike Model 35,Toys & Games,Electronic Toys,Nike,1,185.95,185.95,0,2022-03-07,Buy Now Pay Later,In-Store,22,Female,Philadelphia,Regular,2022,3,Monday,Spring,185.95,67.15
T000101,C00773,P00252,Furniture Zara Model 19,Home & Garden,Furniture,Zara,1,344.83,344.83,0,2023-03-06,Buy Now Pay Later,Mobile App,27,Male,San Antonio,Regular,2023,3,Monday,Spring,344.83,182.0
T000102,C01302,P00708,Snacks Samsung Model 45,Food & Beverages,Snacks,Samsung,3,41.64,124.92,0,2022-09-30,Debit Card,Mobile App,47,Male,Chicago,VIP,2022,9,Friday,Fall,124.92,55.01
T000103,C01155,P00433,Tools Generic Brand Model 9,Automotive,Tools,Generic Brand,1,487.2,487.2,0,2023-05-06,Credit Card,Online,42,Male,Chicago,Regular,2023,5,Saturday,Spring,487.2,176.72
T000104,C00966,P00023,Activewear Value Plus Model 26,Sports & Outdoors,Activewear,Value Plus,2,775.55,1551.1,0,2022-10-02,Digital Wallet,In-Store,56,Male,Seattle,Budget,2022,10,Sunday,Fall,1551.1,898.62
T000105,C00409,P00701,Fiction H&M Model 29,Books & Media,Fiction,H&M,2,68.23,136.46,0,2024-01-17,Digital Wallet,Online,29,Female,Houston,Budget,2024,1,Wednesday,Winter,136.46,53.47
T000106,C00939,P00462,Hair Care Dell Model 19,Health & Beauty,Hair Care,Dell,1,148.75,148.75,0,2022-12-05,Debit Card,Mobile App,75,Female,Dallas,VIP,2022,12,Monday,Winter,148.75,64.6
T000107,C01575,P00288,Gaming Sony Model 12,Electronics,Gaming,Sony,1,217.22,217.22,10,2022-04-17,Cash,Online,51,Female,Jacksonville,Premium,2022,4,Sunday,Spring,217.22,67.06
T000108,C01995,P00415,Smartphones Sony Model 36,Electronics,Smartphones,Sony,1,1904.45,1904.45,0,2022-05-23,Debit Card,Mobile App,61,Male,Los Angeles,Premium,2022,5,Monday,Spring,1904.45,745.56
T000109,C00620,P00483,Womens Wear HP Model 27,Clothing,Womens Wear,HP,1,393.45,393.45,0,2023-03-11,Debit Card,Mobile App,28,Male,Dallas,Regular,2023,3,Saturday,Spring,393.45,153.75
T000110,C00950,P00456,Games Apple Model 21,Books & Media,Games,Apple,1,90.53,90.53,10,2022-04-29,Debit Card,Online,60,Male,Phoenix,Budget,2022,4,Friday,Spring,90.53,27.18
T000111,C01456,P00328,Non-Fiction Uniqlo Model 2,Books & Media,Non-Fiction,Uniqlo,1,67.28,67.28,0,2022-05-25,Cash,Mobile App,22,Female,Charlotte,Budget,2022,5,Wednesday,Spring,67.28,27.43
T000112,C01725,P00678,Beverages Adidas Model 10,Food & Beverages,Beverages,Adidas,1,16.44,16.44,5,2024-03-19,Credit Card,Mobile App,33,Female,Austin,VIP,2024,3,Tuesday,Spring,16.44,7.87
T000113,C01368,P00423,Fragrances Value Plus Model 45,Health & Beauty,Fragrances,Value Plus,1,24.38,24.38,15,2023-09-23,Debit Card,In-Store,60,Female,Charlotte,Budget,2023,9,Saturday,Fall,24.38,6.48
T000114,C00989,P00105,Educational Toys Uniqlo Model 14,Toys & Games,Educational Toys,Uniqlo,2,125.69,251.38,0,2022-09-14,Buy Now Pay Later,Mobile App,51,Male,Philadelphia,Regular,2022,9,Wednesday,Fall,251.38,90.42
T000115,C00319,P00177,Accessories H&M Model 39,Automotive,Accessories,H&M,1,299.08,299.08,0,2023-04-06,Digital Wallet,Online,40,Male,Los Angeles,VIP,2023,4,Thursday,Spring,299.08,100.38
T000116,C00479,P00253,International Dell Model 45,Food & Beverages,International,Dell,1,43.32,43.32,0,2023-11-21,Digital Wallet,In-Store,29,Female,Fort Worth,Budget,2023,11,Tuesday,Fall,43.32,13.62
T000117,C01166,P00653,Accessories H&M Model 19,Clothing,Accessories,H&M,1,174.82,174.82,0,2023-07-11,Debit Card,Online,73,Female,Columbus,VIP,2023,7,Tuesday,Summer,174.82,60.34
T000118,C01491,P00719,Maintenance Nikon Model 38,Automotive,Maintenance,Nikon,1,199.17,199.17,0,2024-03-19,Debit Card,In-Store,44,Male,Houston,VIP,2024,3,Tuesday,Spring,199.17,88.8
T000119,C00509,P00074,Tools Sony Model 3,Home & Garden,Tools,Sony,1,309.98,309.98,0,2023-03-29,Digital Wallet,Mobile App,68,Female,Philadelphia,Premium,2023,3,Wednesday,Spring,309.98,141.29
T000120,C01666,P00548,Beverages Generic Brand Model 15,Food & Beverages,Beverages,Generic Brand,4,37.81,151.24,10,2022-10-03,Buy Now Pay Later,In-Store,33,Male,San Jose,VIP,2022,10,Monday,Fall,151.24,80.83
T000121,C01342,P00668,Outdoor Gear H&M Model 2,Sports & Outdoors,Outdoor Gear,H&M,1,353.07,353.07,0,2024-01-24,Credit Card,Online,43,Female,Charlotte,Premium,2024,1,Wednesday,Winter,353.07,178.46
T000122,C01379,P00299,Movies IKEA Model 46,Books & Media,Movies,IKEA,2,17.81,35.62,5,2022-12-28,Debit Card,Mobile App,18,Female,Columbus,Premium,2022,12,Wednesday,Winter,35.62,10.99
T000123,C01544,P00504,Water Sports Canon Model 33,Sports & Outdoors,Water Sports,Canon,2,65.48,130.96,0,2024-02-05,Cash,Online,70,Male,Indianapolis,Premium,2024,2,Monday,Winter,130.96,40.72
T000124,C01175,P00026,Headphones Adidas Model 3,Electronics,Headphones,Adidas,1,272.54,272.54,10,2023-07-05,Credit Card,Mobile App,19,Male,Dallas,Budget,2023,7,Wednesday,Summer,272.54,78.12
